report_id,after_tax_irr,after_tax_npv_10_currency,after_tax_npv_10_in_millions,after_tax_npv_5_currency,after_tax_npv_5_in_millions,after_tax_npv_8_currency,after_tax_npv_8_in_millions,aud_usd_exchange_rate,author_company,cad_usd_exchange_rate,capex_currency,commodity_price_currency,company_name,copper_cut_off_grade,copper_cut_off_grade_units,copper_metallurgical_recovery,copper_price,copper_price_currency,copper_price_units,country,deposit_type,effective_date,g_and_a_cost_currency,g_and_a_cost_dollars_per_t_milled,gold_cut_off_grade,gold_cut_off_grade_units,gold_metallurgical_recovery,gold_price,gold_price_currency,gold_price_units,initial_capex_currency,initial_capex_in_millions,iron_cut_off_grade,iron_cut_off_grade_units,iron_metallurgical_recovery,iron_price,iron_price_currency,iron_price_units,is_in_northern_hemisphere,lat,lead_cut_off_grade,lead_cut_off_grade_units,lead_metallurgical_recovery,lead_price,lead_price_currency,lead_price_units,life_of_mine,long,main_currency,mine_type,open_pit_mining_cost_currency,open_pit_mining_cost_dollars_per_t_milled_or_processed,open_pit_mining_cost_dollars_per_t_mined_or_moved,opex_currency,pre_tax_irr,pre_tax_npv_10_currency,pre_tax_npv_10_in_millions,pre_tax_npv_5_currency,pre_tax_npv_5_in_millions,pre_tax_npv_8_currency,pre_tax_npv_8_in_millions,processing_cost_currency,processing_cost_dollars_per_t_milled,processing_method,processing_rate,produces_copper,produces_gold,produces_iron,produces_lead,produces_silver,produces_sulphur,produces_zinc,project_name,silver_cut_off_grade,silver_cut_off_grade_units,silver_metallurgical_recovery,silver_price,silver_price_currency,silver_price_units,stripping_ratio,subdivision,sulphur_cut_off_grade,sulphur_cut_off_grade_units,sulphur_metallurgical_recovery,sulphur_price,sulphur_price_currency,sulphur_price_units,total_material_mined,total_operating_cost_currency,total_operating_cost_dollars_per_t_milled,total_ore_mined,total_waste_mined,underground_mining_cost_currency,underground_mining_cost_dollars_per_t_milled_or_processed,underground_mining_cost_dollars_per_t_mined_or_moved,underground_mining_method,zinc_cut_off_grade,zinc_cut_off_grade_units,zinc_metallurgical_recovery,zinc_price,zinc_price_currency,zinc_price_units
2005-000019963 Jaguar Mining Inc-f1-00832456_1-2-1,,,,,,,,,,,,,,,,,,,,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-000022474 African Copper PLC-f1-00807100_1-1-1,,,,,,,,,,,,,,,,,,,,Botswana,,,,,,,,,,,,,,,,,,,,-20.52722222,,,,,,,,26.59611111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-000022835 Western Areas NL-f1-00847016_1-10-1,,,,,,,,,,,,,,,,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000001579 Campbell Resources Inc-f1-00991644_1-12-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000001579 Campbell Resources Inc-f1-00991644_1-12-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000001579 Campbell Resources Inc-f1-00991644_1-12-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000002158 Andaurex Industries Inc-f1-01000323_1-1-1,,,,,,,,,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,21.074444444444445,,,,,,,,-101.0272222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000002178 Silver Standard Resources Inc-f1-00928056_1-1-1,,,,,,,,,,,,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000002503 Bema Gold Corporation-f1-00972395_1-2-1,,,,,,,,,,,,,,,,,,,,Chile,,,,,,,,,,,,,,,,,,,,-27.78333333,,,,,,,,-69.28333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000004817 New Guinea Gold Corporation-f1-00885285_1-1-1,,,,,,,,,,,,,,,,,,,,Papua New Guinea,,,,,,,,,,,,,,,,,,,,-4.616666667,,,,,,,,152.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000005203 SXR Uranium One Inc-f1-00971040_3-2-1,,,,,,,,,,,,,,,,,,,,South Africa,,,,,,,,,,,,,,,,,,,,-26.78333333,,,,,,,,26.48333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000005203 SXR Uranium One Inc-f1-00991302_5-2-1,,,,,,,,,,,,,,,,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000005386 Augusta Resource Corporation-f1-00955134_2-1-1,,,,,,,,,,,,,,,,,,,,United States of America (USA),,,,,,,,,,,,,,,,,,,,31.83333333333333,,,,,,,,-110.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000009833 Gammon Lake Resources Inc-f1-00876619_1-1-1,,,,,,,,,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000020335 Quadra Mining Ltd-f1-01007495_1-5-1,,,,,,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000020574 Marathon PGM Corporation-f1-01001255_1-14-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000020977 KHAN RESOURCES INC-f1-00843645_1-34-1,,,,,,,,,,,,,,,,,,,,Mongolia,,,,,,,,,,,,,,,,,,,,49.10694444444445,,,,,,,,114.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000021840 Ur-Energy Inc-f1-00972014_1-3-1,,,,,,,,,,,,,,,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000021840 Ur-Energy Inc-f1-00972014_1-3-2,,,,,,,,,,,,,,,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000023735 Duluth Metals Limited-f1-00956935_1-5-1,,,,,,,,,,,,,,,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000024136 Nickel Asia Corp-f1-00977909_1-1-1,,,,,,,,,,,,,,,,,,,,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000024169 Moly Mines Limited-f1-00988596_1-1-1,,,,,,,,,,,,,,,,,,,,Australia,,,,,,,,,,,,,,,,,,,,-20.8875,,,,,,,,120.10972222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000024503 First Uranium Corporation-f1-01017030_1-22-1,,,,,,,,,,,,,,,,,,,,Republic of South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-000024503 First Uranium Corporation-f1-01017030_1-22-2,,,,,,,,,,,,,,,,,,,,Republic of South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000000834 Agnico-Eagle Mines Limited-f1-01161104_1-1-1,,,,,,,,,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,28.275987431478843,,,,,,,,-108.3022774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000001166 Comaplex Minerals Corp-f1-01079413_1-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000001691 HudBay Minerals Inc-f1-01126797_1-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,63.16666666666666,,,,,,,,-130.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000001815 Olympus Pacific Minerals Inc-f1-01122678_1-5-2,,,,,,,,,,,,,,,,,,,,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000001837 TVI Pacific Inc-f1-01138836_1-1-1,,,,,,,,,,,,,,,,,,,,Philippines,,,,,,,,,,,,,,,,,,,,7.858333333333333,,,,,,,,122.89166666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000001913 Northgate Minerals Corporation-f1-01118902_1-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,57.03333333333333,,,,,,,,-126.7833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000002154 Karmin Exploration Inc-f1-01174686_1-1-1,,,,,,,,,,,,,,,,,,,,Brazil,,,,,,,,,,,,,,,,,,,,-10.04833333,,,,,,,,-59.49555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000002465 CONSTELLATION COPPER CORPORATION-f1-01202191_2-1-1,,,,,,,,,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,28.616666666666667,,,,,,,,-109.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000002470 Fortune Minerals Limited-f1-01060037_1-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,63.55,,,,,,,,-116.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000002720 Orezone Resources Inc-f1-01170186_2-1-1,,,,,,,,,,,,,,,,,,,,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000002753 CANADIAN ZINC CORPORATION-f1-01168693_1-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,61.55,,,,,,,,-124.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000002878 Banro Corporation-f1-01144147_2-1-1,,,,,,,,,,,,,,,,,,,,Democratic Republic of the Congo (DRC),,,,,,,,,,,,,,,,,,,,-4.0,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000003031 Dia Bras Exploration Inc-f1-01180256_1-1-1,,,,,,,,,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000003212 Taseko Mines Limited-f1-01168446_1-1-2,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,51.46666666666667,,,,,,,,-123.6166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000003295 Tri Origin Exploration Ltd-f1-01157089_1-1-2,,,,,,,,,,,,,,,,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000003477 Murgor Resources Inc-f1-01159504_1-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,54.93592789,,,,,,,,-77.16857085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000003532 International Minerals Corporation-f1-01168071_1-1-1,,,,,,,,,,,,,,,,,,,,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000004043 Coalcorp Mining Inc. (_ Adobe Ventures Inc.)-f1-01052698_1-1-1,,,,,,,,,,,,,,,,,,,,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000004043 Coalcorp Mining Inc. (_ Adobe Ventures Inc.)-f1-01052761_2-1-1,,,,,,,,,,,,,,,,,,,,Colombia,,,,,,,,,,,,,,,,,,,,9.633333333333333,,,,,,,,-73.56666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000004043 Coalcorp Mining Inc. (_ Adobe Ventures Inc.)-f1-01181801_4-1-1,,,,,,,,,,,,,,,,,,,,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000004130 KINBAURI GOLD CORP-f1-01125310_1-1-1,,,,,,,,,,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,,,,,43.35,,,,,,,,-6.266666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000004246 Vista Gold Corp-f1-01122914_2-1-1,,,,,,,,,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,23.666666666666668,,,,,,,,110.11666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000004256 Great Basin Gold Ltd-f1-01067721_1-1-1,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,41.1,,,,,,,,-116.5166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000004690 Pacific Booker Minerals Inc-f1-01101603_1-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,55.18333333333333,,,,,,,,-126.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000005504 Largo Resources Ltd-f1-01126098_2-1-1,,,,,,,,,,,,,,,,,,,,Brazil,,,,,,,,,,,,,,,,,,,,-13.68333333,,,,,,,,-40.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000005627 Tournigan Gold Corporation-f1-01121571_1-1-1,,,,,,,,,,,,,,,,,,,,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000005736 New Cantech Ventures Inc-f1-01120333_3-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,53.98527777777778,,,,,,,,-127.3016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000005736 New Cantech Ventures Inc-f1-01163313_4-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,56.1,,,,,,,,130.03333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000007056 Formation Capital Corporation-f1-01158950_1-1-1,,,,,,,,,,,,,,,,,,,,the United States of America,,,,,,,,,,,,,,,,,,,,45.13055555555555,,,,,,,,-114.3616667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000007610 North American Tungsten Corporation Ltd-f1-01095069_1-6-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,63.28333333333333,,,,,,,,-130.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000007781 Independent Nickel Corp-f1-01195133_1-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,56.85,,,,,,,,-101.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000008119 Adanac Molybdenum Corporation-f1-01195449_3-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,59.70820264755114,,,,,,,,-133.4004137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000008415 Vannessa Ventures Ltd-f1-01055605_1-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000009568 Lake Shore Gold Corp-f1-01168008_1-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,48.38333333333333,,,,,,,,-81.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000011769 Fronteer Development Group Inc-f1-01053196_1-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,54.55161572906359,,,,,,,,-54.2012397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000012639 Queenstake Resources Ltd-f1-01093904_1-1-1,,,,,,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,41.38333333333333,,,,,,,,-116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000013097 Western Prospector Group Ltd-f1-01193860_2-1-1,,,,,,,,,,,,,,,,,,,,Mongolia,,,,,,,,,,,,,,,,,,,,49.00138888888889,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000013559 Metco Resources Inc-f1-01129924_4-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,49.73333333333333,,,,,,,,-78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-000014497 European Goldfields Limited-f1-01114334_1-1-1,,,,,,,,,,,,,,,,,,,,Greece,,,,,,,,,,,,,,,,,,,,40.6,,,,,,,,23.83333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
